Bank_Code,Bank_Name,Branch_Code,Branch_Name,Branch_Address,City,,,,,,,,,,,,,,,,
22,Citibank,2,פנימי,"דרך מנחם בגין 121  , מגדל עזריאלי שרונה",תל אביב -יפו,,,,,,,,,,,,,,,,
22,Citibank,1,ראשי,דרך מנחם בגין 121 מגדל עזריאלי שרונה,תל אביב -יפו,,,,,,,,,,,,,,,,
23,HSBC,102,אייצ' אס בי סי בנק,ז'בוטינסקי  2 בית אמות אטריום,רמת גן,,,,,,,,,,,,,,,,
23,HSBC,101,אייצ' אס בי סי בנק,ז'בוטינסקי  2 בית אמות אטריום,רמת גן,,,,,,,,,,,,,,,,
18,"One  Zero - הבנק הדיגיטלי בע""מ",1,לקוחות,עמינדב 3 ,תל אביב -יפו,,,,,,,,,,,,,,,,
18,"One  Zero - הבנק הדיגיטלי בע""מ",50,תאגידים,עמינדב 3 ,תל אביב -יפו,,,,,,,,,,,,,,,,
18,"One  Zero - הבנק הדיגיטלי בע""מ",410,תשלומים לספקים,עמינדב 3 ,תל אביב -יפו,,,,,,,,,,,,,,,,
18,"One  Zero - הבנק הדיגיטלי בע""מ",300,ניהול נכסים והתחייבויות,עמינדב 3 ,תל אביב -יפו,,,,,,,,,,,,,,,,
18,"One  Zero - הבנק הדיגיטלי בע""מ",400,הנהלה,עמינדב 3 ,תל אביב -יפו,,,,,,,,,,,,,,,,
39,SBI State Bank of India,1,SBI State Bank of India,זבוטינסקי 3 3 ,רמת גן,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",63,תל אביב ראשי,אחוזת בית 6 ,תל אביב -יפו,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",51,ירושלים ראשי,בן יהודה 1 ,ירושלים,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",93,רחובות,אחד העם 1 ,רחובות,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",95,פולג,הבונים 3 ,נתניה,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",198,הנהלה,אחוזת בית 6 ,תל אביב -יפו,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",81,חיפה ראשי,"פלי""ם 6 ",חיפה,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",197,הנהלה,אחוזת בית 6 ,תל אביב -יפו,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",992,משכנתאות,אחד העם 9 ,תל אביב -יפו,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",125,מרכז הלוואות,אבא הילל סלבר 13 ,לוד,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",123,אגוד ישיר,אבא הילל סלבר 13 ,לוד,,,,,,,,,,,,,,,,
13,"בנק אגוד לישראל בע""מ",196,הנהלה,אחוזת בית 6 ,תל אביב -יפו,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",361,החשמונאים,החשמונאים 84 ,תל אביב -יפו,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",365,צהלה,"צה""ל 71 ",תל אביב -יפו,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",355,אשדוד,"שד' מנחם בגין 7 מרכז צימר, ככר הסיטי",אשדוד,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",343,אריאל,אורי בר-און 2 ,אריאל,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",375,רמת השרון,הסייפן 33 ,רמת השרון,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",349,אשקלון,שד ירושלים 119 ,אשקלון,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",345,רעות,מרכז מסחרי רעות 0 ד.נ. מודיעין,מודיעין-מכבים-רעות*,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",330,רמת גן,ביאליק 10 ,רמת גן,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",382,בת ים חולון,יוספטל 92 קניון בת ים,בת ים,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",310,חדרה,הלל יפה 22 ,חדרה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",324,טבריה,ככר רבין (רסקו) 1 ,טבריה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",303,אוצר החייל רמות,יצחק מודעי 30 ,באר שבע,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",363,באר שבע,בן צבי 9 ,באר שבע,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",388,מרכז שרות ישיר,אברהם בומה שביט 5 ,ראשון לציון,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",338,לקוחות נבחרים,ילדי טהרן 5 מתחם הפאואר סנטר החדש,ראשון לציון,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",399,מטה אוצר החייל,שד' רוטשילד 42 ,תל אביב -יפו,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",321,המרכז למימון מתמחה,שד' רוטשילד 42 ,תל אביב -יפו,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",334,חבר,בסיס תל השומר 0 ,רמת גן,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",318,נווה זאב,יוהנה ז'בוטינסקי 7 ,באר שבע,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",332,קרית ההדרכה,"עיר הבהד""ים 0 ",ירוחם,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",309,עפולה,הפרסה 6 ,עפולה,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",392,מערב ראשון לציון,ילדי טהרן 5 מתחם הפאואר סנטר החדש,ראשון לציון,,,,,,,,,,,,,,,,
14,"בנק אוצר החייל בע""מ",344,ראשון לציון,רוטשילד 14 ,ראשון לציון,,,,,,,,,,,,,,,,
